,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_net_arch,params_tau,state
0,0,-2.75,2023-09-12 10:42:11.102380,2023-09-12 10:47:05.372377,0 days 00:04:54.269997,0.0001806673590977841,medium,0.12599310246830117,COMPLETE
1,1,-2.737829,2023-09-12 10:47:05.372881,2023-09-12 10:52:58.613491,0 days 00:05:53.240610,0.00010069081118474771,large,0.04841027900757381,COMPLETE
2,2,-1.061283,2023-09-12 10:52:58.614478,2023-09-12 10:57:42.687841,0 days 00:04:44.073363,0.0004037969628901593,small,0.1398666367227935,COMPLETE
3,3,-2.75,2023-09-12 10:57:42.688283,2023-09-12 10:58:17.999646,0 days 00:00:35.311363,0.00069357434956937,small,0.3247097054612051,PRUNED
4,4,-2.75,2023-09-12 10:58:17.999869,2023-09-12 10:58:53.728555,0 days 00:00:35.728686,0.00047588879422783746,small,0.0056332821662958355,PRUNED
5,5,0.1097245,2023-09-12 10:58:53.728795,2023-09-12 11:03:51.626080,0 days 00:04:57.897285,0.00033500767319698304,small,0.4704087377859767,COMPLETE
6,6,-2.75,2023-09-12 11:03:51.634935,2023-09-12 11:04:53.583501,0 days 00:01:01.948566,0.0008740737850112187,large,0.46282687288710783,PRUNED
7,7,-1.1471195,2023-09-12 11:04:53.583696,2023-09-12 11:10:50.791800,0 days 00:05:57.208104,0.00026505777167865616,medium,0.04074174432791812,COMPLETE
8,8,-2.75,2023-09-12 11:10:50.792135,2023-09-12 11:11:24.262456,0 days 00:00:33.470321,0.00026031572081392564,small,0.44710211740625383,PRUNED
9,9,-0.439638,2023-09-12 11:11:24.262672,2023-09-12 11:16:15.439944,0 days 00:04:51.177272,0.0005678632115321866,small,0.15827945054593692,COMPLETE
10,10,-2.75,2023-09-12 11:16:15.440343,2023-09-12 11:17:03.693298,0 days 00:00:48.252955,0.0009745818622127891,medium,0.02099193307603327,PRUNED
11,11,-2.75,2023-09-12 11:17:03.693512,2023-09-12 11:17:36.771320,0 days 00:00:33.077808,0.0005352590197662032,small,0.168875194637601,PRUNED
12,12,-0.37444200000000005,2023-09-12 11:17:36.771524,2023-09-12 11:22:11.696033,0 days 00:04:34.924509,0.00036966761381005114,small,0.21902297801629894,COMPLETE
13,13,0.080202,2023-09-12 11:22:11.696374,2023-09-12 11:23:11.526805,0 days 00:00:59.830431,0.00035122131884296205,small,0.23989856748085236,PRUNED
14,14,-2.75,2023-09-12 11:23:11.527008,2023-09-12 11:23:57.457962,0 days 00:00:45.930954,0.0003371383013768683,large,0.27281290629365296,PRUNED
15,15,-2.75,2023-09-12 11:23:57.458173,2023-09-12 11:24:30.615628,0 days 00:00:33.157455,0.0002371817559665558,small,0.4934412647180267,PRUNED
16,16,0.094264,2023-09-12 11:24:30.615830,2023-09-12 11:25:30.335507,0 days 00:00:59.719677,0.00043895914700336624,small,0.09101789965195618,PRUNED
17,17,-2.5182935,2023-09-12 11:25:30.335715,2023-09-12 11:26:31.224422,0 days 00:01:00.888707,0.0006549168994123262,small,0.2596233625098142,PRUNED
